name,category,website,phone,address,city
Westfall Dental Studio,Dentist,https://westfalldental.com/,585-461-1200,"1901 Lac De Ville Blvd",Rochester
Idols & Anchors Barbershop,BarberShop,https://www.idolsandanchors.com/,585-360-4041,"1946 W Ridge Rd",Rochester
Rochester Landscapes,Landscaper,https://landscapingrochester.co/,,"",Rochester
Gregory A. Merkley DDS,Dentist,https://dentistinpenfield.com/,585-366-0330,"2099 Five Mile Line Road",Penfield
Penfield Family Dentistry,Dentist,https://penfieldfamilydentistry.com/,585-377-5090,"1795 Penfield Road",Penfield
Blake Miller Lawn & Landscape,Landscaper,https://www.blakemillergroup.com/,585-223-2891,"2343 Penfield Road",Penfield
Al's Penfield Barber Shop,BarberShop,https://alspenfieldbarbershop.com/,585-248-8870,"1802 Penfield Road",Penfield
Pittsford Barber Shop,BarberShop,https://pittsfordbarbershop.com/,585-746-9482,"1 Grove Street Suite 215",Pittsford
Pittsford Pub & Grille,Restaurant,https://pittsfordpub.com/,585-586-4650,"60 North Main Street",Pittsford
Olives Greek Taverna,Restaurant,https://www.olivespittsford.com/,585-381-3990,"50 State Street",Pittsford
Webster Eye Care Associates,Optometrist,https://www.webstereyecare.com/,585-265-3710,"81 East Main St",Webster
Turner Auto Care,AutoRepair,https://turnerautocare.com/,585-288-1060,"1411 Empire Blvd",Webster
Klem's Garage,AutoRepair,https://www.klemsgarage.com/,585-265-0358,"1480 Ridge Road",Webster
Edge Barber Shop,BarberShop,https://www.edgebarbershop.co/,585-478-1298,"696 Ridge Road",Webster
Ron's Auto Repair,AutoRepair,https://www.ronsautowebster.com/,585-787-3040,"2175 Empire Blvd",Webster
Country Roads,Restaurant,https://countryroadsfairport.com/,585-216-7420,"25 Parce Avenue Suite 160",Fairport
Compane Trattoria,Restaurant,https://compane.squarespace.com/,,"25 Parce Avenue",Fairport
Flower City Optometry,Optometrist,https://www.flowercityoptometry.com/,585-204-2460,"25 Parce Ave Ste 110",Fairport
E's Autoworx,AutoRepair,https://es-autoworx.com/,585-354-9454,"739 Whitney Road West",Fairport
Altered Image Barbershop,BarberShop,https://www.alteredimagebarbershop.com/,585-775-2282,"24 High Street",Fairport
Perinton Pizza Emporium,Restaurant,https://perintonpizza.net/,585-223-8118,"7374 Pittsford-Palmyra Rd",Fairport
